,loss,val_loss
0,0.003392730373889208,0.009171669371426105
1,0.00025798703427426517,0.01818295195698738
2,0.00017627733177505434,0.01120972353965044
3,0.0001849358668550849,0.0030414576176553965
4,0.00018908687343355268,0.0009026496554724872
5,0.0001537603820906952,0.0002700064214877784
6,9.427986515220255e-05,0.00013301052968017757
7,0.00012824329314753413,0.00011695937428157777
8,0.00012090293603250757,0.00019110407447442412
9,0.0001239349803654477,0.00013671482156496495
10,9.606777894077823e-05,0.000137676193844527
11,0.00013203163689468056,0.0002004010893870145
12,9.19785161386244e-05,0.00017178029520437121
13,8.701308979652822e-05,5.300032353261486e-05
14,9.190242417389527e-05,5.771605356130749e-05
15,8.191131200874224e-05,8.742103091208264e-05
16,8.32343939691782e-05,6.939669401617721e-05
17,0.00010731977818068117,0.0001641072885831818
18,6.313015182968229e-05,0.000347653724020347
19,0.00010251663479721174,0.00016795026022009552
